Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,New_cases_roll7,New_deaths_roll7,CFR_roll7,Variant_phase,ISO3,COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,CFR_roll7_clean,population,cases_per_million,deaths_per_million
2020-01-04,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-05,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-06,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-07,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-08,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-09,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-10,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-11,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-12,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-13,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-14,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-15,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-16,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-17,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-18,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-19,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-20,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-21,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-22,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-23,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-24,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-25,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-26,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-27,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-28,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-29,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-30,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-01-31,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-01,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-02,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-03,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-04,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-05,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-06,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-07,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-08,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-09,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-10,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-11,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-12,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-13,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-14,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-15,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-16,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-17,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-18,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-19,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-20,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-21,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-22,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-23,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-24,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-25,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-26,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-27,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-28,CL,Chile,AMR,,0,,0,,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,,
2020-02-29,CL,Chile,AMR,1.0,1,,0,1.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.05205080158234437,
2020-03-01,CL,Chile,AMR,,1,,0,1.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.05205080158234437,
2020-03-02,CL,Chile,AMR,,1,,0,1.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.05205080158234437,
2020-03-03,CL,Chile,AMR,,1,,0,1.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.05205080158234437,
2020-03-04,CL,Chile,AMR,,1,,0,1.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.05205080158234437,
2020-03-05,CL,Chile,AMR,2.0,3,,0,1.5,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.07807620237351655,
2020-03-06,CL,Chile,AMR,1.0,4,,0,1.3333333333333333,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.06940106877645916,
2020-03-07,CL,Chile,AMR,1.0,5,,0,1.3333333333333333,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.06940106877645916,
2020-03-08,CL,Chile,AMR,2.0,7,,0,1.5,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.07807620237351655,
2020-03-09,CL,Chile,AMR,3.0,10,,0,1.8,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.09369144284821987,
2020-03-10,CL,Chile,AMR,5.0,15,,0,2.333333333333333,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.1214518703588035,
2020-03-11,CL,Chile,AMR,2.0,17,,0,2.2857142857142856,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.11897326075964426,
2020-03-12,CL,Chile,AMR,6.0,23,,0,2.857142857142857,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.14871657594955534,
2020-03-13,CL,Chile,AMR,10.0,33,,0,4.142857142857143,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.21563903512685526,
2020-03-14,CL,Chile,AMR,10.0,43,,0,5.428571428571429,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.28256149430415517,
2020-03-15,CL,Chile,AMR,18.0,61,,0,7.714285714285714,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.40153475506379943,
2020-03-16,CL,Chile,AMR,14.0,75,,0,9.285714285714286,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,0.4833288718360549,
2020-03-17,CL,Chile,AMR,81.0,156,,0,20.142857142857142,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,1.0484518604443651,
2020-03-18,CL,Chile,AMR,45.0,201,,0,26.285714285714285,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,1.368192498735909,
2020-03-19,CL,Chile,AMR,37.0,238,,0,30.714285714285715,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,1.5987031914577199,
2020-03-20,CL,Chile,AMR,104.0,342,,0,44.142857142857146,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,2.29767109842063,
2020-03-21,CL,Chile,AMR,92.0,434,,0,55.85714285714285,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,2.9074090598138063,
2020-03-22,CL,Chile,AMR,103.0,537,,0,68.0,,,Pre-Alpha,CHL,,,,,,,,,,,,,19212000,3.539454507599417,
2020-03-23,CL,Chile,AMR,95.0,632,1.0,1,79.57142857142857,1.0,0.0125673249551166,Pre-Alpha,CHL,,,,,,,,,,,,0.0125673249551166,19212000,4.141756640195116,0.05205080158234437
2020-03-24,CL,Chile,AMR,114.0,746,,1,84.28571428571429,1.0,0.011864406779661,Pre-Alpha,CHL,,,,,,,,,,,,0.011864406779661,19212000,4.3871389905118825,0.05205080158234437
2020-03-25,CL,Chile,AMR,176.0,922,1.0,2,103.0,1.0,0.0097087378640776,Pre-Alpha,CHL,,,,,,,,,,,,0.0097087378640776,19212000,5.36123256298147,0.05205080158234437
2020-03-26,CL,Chile,AMR,220.0,1142,1.0,3,129.14285714285714,1.0,0.0077433628318584,Pre-Alpha,CHL,,,,,,,,,,,,0.0077433628318584,19212000,6.721989232919901,0.05205080158234437
2020-03-27,CL,Chile,AMR,164.0,1306,1.0,4,137.71428571428572,1.0,0.0072614107883817,Pre-Alpha,CHL,,,,,,,,,,,,0.0072614107883817,19212000,7.168138960768568,0.05205080158234437
2020-03-28,CL,Chile,AMR,304.0,1610,1.0,5,168.0,1.0,0.0059523809523809,Pre-Alpha,CHL,,,,,,,,,,,,0.0059523809523809,19212000,8.744534665833854,0.05205080158234437
2020-03-29,CL,Chile,AMR,299.0,1909,1.0,6,196.0,1.0,0.0051020408163265,Pre-Alpha,CHL,,,,,,,,,,,,0.0051020408163265,19212000,10.201957110139496,0.05205080158234437
2020-03-30,CL,Chile,AMR,230.0,2139,1.0,7,215.28571428571428,1.0,0.0046449900464499,Pre-Alpha,CHL,,,,,,,,,,,,0.0046449900464499,19212000,11.205793997798994,0.05205080158234437
2020-03-31,CL,Chile,AMR,310.0,2449,1.0,8,243.28571428571428,1.0,0.0041103934233705,Pre-Alpha,CHL,,,,,,,,,,,,0.0041103934233705,19212000,12.663216442104638,0.05205080158234437
2020-04-01,CL,Chile,AMR,289.0,2738,4.0,12,259.42857142857144,1.4285714285714286,0.0055066079295154,Pre-Alpha,CHL,,,,,,,,,,,,0.0055066079295154,19212000,13.503465096219626,0.07435828797477767
2020-04-02,CL,Chile,AMR,293.0,3031,4.0,16,269.85714285714283,1.8571428571428568,0.0068819481206987,Pre-Alpha,CHL,,,,,,,,,,,,0.0068819481206987,19212000,14.046280598435501,0.09666577436721095
2020-04-03,CL,Chile,AMR,373.0,3404,2.0,18,299.7142857142857,2.0,0.0066730219256434,Pre-Alpha,CHL,,,,,,,,,,,,0.0066730219256434,19212000,15.600368817108354,0.10410160316468874
2020-04-04,CL,Chile,AMR,333.0,3737,4.0,22,303.85714285714283,2.4285714285714284,0.0079924776680771,Pre-Alpha,CHL,,,,,,,,,,,,0.0079924776680771,19212000,15.816007852235208,0.12640908955712205
2020-04-05,CL,Chile,AMR,424.0,4161,5.0,27,321.7142857142857,3.0,0.0093250444049733,Pre-Alpha,CHL,,,,,,,,,,,,0.0093250444049733,19212000,16.74548645191993,0.1561524047470331
2020-04-06,CL,Chile,AMR,310.0,4471,7.0,34,333.1428571428572,3.857142857142857,0.0115780445969125,Pre-Alpha,CHL,,,,,,,,,,,,0.0115780445969125,19212000,17.340352755718158,0.20076737753189972
2020-04-07,CL,Chile,AMR,344.0,4815,3.0,37,338.0,4.142857142857143,0.0122569737954353,Pre-Alpha,CHL,,,,,,,,,,,,0.0122569737954353,19212000,17.593170934832397,0.21563903512685526
2020-04-08,CL,Chile,AMR,301.0,5116,6.0,43,339.7142857142857,4.428571428571429,0.013036164844407,Pre-Alpha,CHL,,,,,,,,,,,,0.013036164844407,19212000,17.68240088040213,0.2305106927218108
2020-04-09,CL,Chile,AMR,430.0,5546,5.0,48,359.2857142857143,4.571428571428571,0.0127236580516898,Pre-Alpha,CHL,,,,,,,,,,,,0.0127236580516898,19212000,18.701109425656586,0.23794652151928852
2020-04-10,CL,Chile,AMR,426.0,5972,9.0,57,366.8571428571428,5.571428571428571,0.0151869158878504,Pre-Alpha,CHL,,,,,,,,,,,,0.0151869158878504,19212000,19.095208351922903,0.2899973231016329
2020-04-11,CL,Chile,AMR,529.0,6501,8.0,65,394.8571428571428,6.142857142857143,0.0155571635311143,Pre-Alpha,CHL,,,,,,,,,,,,0.0155571635311143,19212000,20.552630796228545,0.319740638291544
2020-04-12,CL,Chile,AMR,426.0,6927,8.0,73,395.1428571428572,6.571428571428571,0.0166305133767172,Pre-Alpha,CHL,,,,,,,,,,,,0.0166305133767172,19212000,20.567502453823508,0.3420481246839773
2020-04-13,CL,Chile,AMR,286.0,7213,7.0,80,391.7142857142857,6.571428571428571,0.0167760758570386,Pre-Alpha,CHL,,,,,,,,,,,,0.0167760758570386,19212000,20.389042562684036,0.3420481246839773
2020-04-14,CL,Chile,AMR,312.0,7525,2.0,82,387.1428571428572,6.428571428571429,0.0166051660516605,Pre-Alpha,CHL,,,,,,,,,,,,0.0166051660516605,19212000,20.151096041164752,0.3346122958864995
2020-04-15,CL,Chile,AMR,392.0,7917,10.0,92,400.1428571428572,7.0,0.0174937522313459,Pre-Alpha,CHL,,,,,,,,,,,,0.0174937522313459,19212000,20.82775646173523,0.36435561107641057
2020-04-16,CL,Chile,AMR,356.0,8273,2.0,94,389.57142857142856,6.571428571428571,0.0168683535020168,Pre-Alpha,CHL,,,,,,,,,,,,0.0168683535020168,19212000,20.27750513072187,0.3420481246839773
2020-04-17,CL,Chile,AMR,534.0,8807,11.0,105,405.0,6.857142857142857,0.0169312169312169,Pre-Alpha,CHL,,,,,,,,,,,,0.0169312169312169,19212000,21.08057464084947,0.3569197822789328
2020-04-18,CL,Chile,AMR,445.0,9252,11.0,116,393.0,7.285714285714286,0.0185387131952017,Pre-Alpha,CHL,,,,,,,,,,,,0.0185387131952017,19212000,20.45596502186134,0.37922726867136614
